0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
7446.830078,7446.830078,7101.520020,7143.580078,2.053140,2.174230,1.893940,1.990770,308.644989,329.451996,307.056000,320.884003,622.312012,670.135986,619.257996,654.302979,0.001207,0.001415,0.001181,0.001415,,,,,,9474.601563,9478.325195,9013.958984,9054.487305,49334.503906,49334.503906,47124.976563,47417.656250,6423.557617,6424.111328,6106.208008,6133.934570,5679.400391,5678.967285,5412.744141,5435.687012,848193.937500,848417.375000,804531.187500,809724.812500,14729.52,,,,1
7173.729980,7312.000000,6436.870117,6618.140137,2.007730,2.069470,1.644780,1.796840,320.670990,324.717987,294.541992,299.252991,651.775024,1034.770020,651.775024,1007.419983,0.001421,0.001431,0.001125,0.001163,,,,,,9092.703125,9264.303711,8160.020020,8392.463867,47617.785156,48535.593750,42740.175781,43943.789063,6159.823242,6275.317383,5518.578613,5674.475098,5458.628906,5561.725098,4878.264648,5018.304688,813142.312500,828595.812500,730777.875000,751357.437500,26492.72,,,,1
6618.609863,6873.149902,6204.220215,6357.600098,1.786280,1.917750,1.614290,1.670470,298.585999,319.453003,298.191986,314.681000,1001.640015,1403.660034,910.721985,1340.449951,0.001146,0.001257,0.001141,0.001201,,,,,,8393.059570,8715.841797,7867.571777,8062.072754,43946.906250,45637.027344,41195.402344,42213.828125,5674.877930,5893.123535,5319.574707,5451.084473,5018.660645,5211.669434,4704.443359,4820.746094,751410.750000,780308.687500,704365.125000,721778.312500,14890.46,,,,1
6295.450195,6625.049805,5519.009766,5950.069824,1.668890,1.672800,1.462560,1.519690,314.690002,319.153015,298.513000,307.907990,1346.969971,2477.649902,1215.579956,1388.859985,0.001189,0.001210,0.001002,0.001038,,,,,,7983.260254,8401.225586,6998.656250,7551.233398,41801.160156,43989.667969,36645.671875,39507.867188,5397.796387,5680.399414,4732.066895,5102.976074,4773.620117,5023.543945,4184.872559,4535.114258,714722.437500,752141.875000,626573.187500,676403.937500,37220.5,,,,1
5938.250000,6811.189941,5844.290039,6559.490234,1.526010,1.735020,1.517600,1.686620,307.024994,328.415009,307.024994,316.716003,1381.819946,1501.160034,1043.000000,1353.989990,0.001046,0.001212,0.001019,0.001211,,,,,,7536.232910,8651.573242,7416.404297,8354.822266,39429.386719,45212.679688,38848.750000,43545.175781,5092.838867,5835.995117,5016.558105,5624.187988,4526.104980,5200.572754,4455.168457,4999.992676,675060.250000,771435.375000,664086.687500,745092.500000,27163.67,,,,1
6561.479980,6764.979980,6461.750000,6635.750000,1.689280,1.735370,1.568270,1.592580,316.763000,340.177002,316.763000,337.631012,1346.729980,1390.209961,1211.390015,1273.530029,0.001201,0.001239,0.001131,0.001184,,,,,,8357.357422,8617.231445,8208.361328,8449.300781,43558.386719,44918.113281,42864.019531,44028.203125,5625.894043,5796.897949,5494.685547,5628.764160,5001.509277,5158.593750,4930.375488,5043.513184,745318.500000,768569.375000,733085.562500,752494.062500,12072.05,,,,1
6634.759766,7342.250000,6634.759766,7315.540039,1.587770,1.624980,1.495500,1.530450,337.963989,340.911987,329.812988,333.356995,1269.790039,1326.390015,1191.979980,1212.400024,0.001189,0.001351,0.001179,0.001339,,,,,,8448.040039,9369.445313,8448.040039,9339.750000,44021.632813,48605.695313,44021.632813,48428.875000,5627.924316,6227.523438,5626.492188,6209.081543,5042.760254,5575.404297,5042.760254,5553.856934,752381.750000,828058.937500,752448.125000,824827.125000,16869.9,,,,1
7323.240234,7967.379883,7176.580078,7871.689941,1.556190,1.682220,1.536890,1.577920,333.442993,336.158997,323.605988,330.924011,1202.170044,1210.359985,876.570984,900.776001,0.001348,0.001424,0.001286,0.001390,,,,,,9349.581055,10160.799805,9158.751953,10042.702148,48479.851563,52802.214844,47588.621094,52168.050781,6215.617188,6770.376953,6089.071777,6683.384277,5559.702637,6038.181152,5447.119629,5964.305176,825695.312500,900632.625000,810020.562500,889815.812500,19272.37,,,,1
7853.569824,8004.589844,7561.089844,7708.990234,1.580050,1.582660,1.495300,1.510360,330.166992,334.963989,327.523010,332.394012,909.158020,1217.420044,863.979004,1185.479980,0.001381,0.001394,0.001274,0.001313,,,,,,10019.583984,10201.849609,9638.876953,9835.900391,52047.964844,53048.816406,50151.195313,51068.207031,6667.999512,6788.728516,6415.858887,6536.920410,5950.575684,6059.951660,5711.224121,5835.281250,887767.562500,903237.937500,851151.875000,863946.562500,17714.37,,,,1
7697.209961,7884.990234,7463.439941,7790.149902,1.511360,1.676780,1.498230,1.674330,331.980011,349.615997,327.687012,347.612000,1197.430054,1388.109985,1197.430054,1254.530029,0.001308,0.001385,0.001254,0.001373,,,,,,9820.870117,10060.458984,9522.602539,9939.452148,50990.167969,52234.117188,49441.558594,51605.847656,6526.931152,6686.161621,6328.703613,6605.740723,5826.364258,5968.503906,5649.413086,5896.714844,862626.312500,883670.875000,836427.687500,873042.125000,7326.81,,,,1
