Date,Open,High,Low,Close,Adj Close,Volume
2014-10-31,37685.332031,38034.359375,37729.562500,37986.683594,37986.683594,1408597512
2014-11-01,38023.621094,38234.593750,36048.054688,36575.097656,36575.097656,1872516016
2014-11-02,36611.703125,36945.734375,35999.886719,36770.394531,36770.394531,970746445
2014-11-03,36733.949219,37648.707031,36665.433594,37242.886719,37242.886719,1472244450
2014-11-04,37198.207031,37642.285156,36840.976563,37514.148438,37514.148438,1777055805
2014-11-05,37535.828125,39391.289063,37542.441406,38922.070313,38922.070313,2272041980
2014-11-06,38918.859375,40647.566406,38752.933594,40227.730469,40227.730469,2164850490
2014-11-07,40288.539063,40680.582031,39184.617188,39216.789063,39216.789063,1928020926
2014-11-08,39186.898438,39745.578125,39186.898438,39568.742188,39568.742188,977567379
2014-11-09,39555.914063,41620.632813,39427.527344,41600.996094,41600.996094,2772025312
2014-11-10,41486.589844,43032.625000,40840.617188,42115.539063,42115.539063,3495062478
2014-11-11,41993.066406,42834.320313,42076.863281,42553.343750,42553.343750,1833035897
2014-11-12,42586.902344,49580.863281,42546.425781,48955.179688,48955.179688,5291622256
2014-11-13,49384.214844,52894.800781,46413.941406,48716.902344,48716.902344,6825241550
2014-11-14,48448.503906,48624.847656,44777.894531,46254.296875,46254.296875,3440336284
2014-11-15,46467.304688,47150.742188,43137.101563,43732.984375,43732.984375,1828636425
2014-11-16,43569.859375,45438.199219,43554.972656,45331.769531,45331.769531,1391407472
2014-11-17,45386.347656,47537.960938,43975.210938,45175.644531,45175.644531,4841507268
2014-11-18,45219.609375,45793.312500,43283.375000,43841.886719,43841.886719,3765199125
2014-11-19,43689.746094,45361.273438,43723.398438,44951.156250,44951.156250,2236224216
2014-11-20,44921.863281,45151.535156,42196.488281,42314.578125,42314.578125,2983825900
2014-11-21,42319.191406,42290.562500,40536.394531,41319.367188,41319.367188,3515446277
2014-11-22,41408.402344,42967.324219,41322.902344,41563.390625,41563.390625,1798701210
2014-11-23,41593.417969,43707.792969,41593.417969,43292.746094,43292.746094,1784555448
