Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,2323.545654,2358.408691,2315.007813,2332.925537,2332.925537,72360094
2014-12-02,2332.956299,2361.449707,2323.441895,2344.706055,2344.706055,76026851
2014-12-03,2347.208496,2355.226807,2302.040771,2306.274170,2306.274170,82040281
2014-12-04,2310.627930,2328.614746,2263.225586,2274.580078,2274.580078,89416611
2014-12-05,2273.583008,2331.916992,2250.899170,2317.539063,2317.539063,93363515
2014-12-06,2316.942383,2327.341553,2281.200439,2304.815430,2304.815430,43105215
2014-12-07,2305.128906,2314.082764,2295.529297,2306.721680,2306.721680,39921700
2014-12-08,2305.922119,2312.728760,2233.741211,2233.883301,2233.883301,116652226
2014-12-09,2233.796875,2241.031006,2133.694336,2178.650635,2178.650635,203598825
2014-12-10,2178.563965,2179.671143,2139.254150,2139.254150,2139.254150,101462404
2014-12-11,2126.747070,2229.392090,2091.455078,2168.966309,2168.966309,200688128
2014-12-12,2170.989746,2183.694092,2159.281982,2180.965820,2180.965820,105105699
2014-12-13,2179.969971,2179.969971,2144.132080,2149.006836,2149.006836,72231788
2014-12-14,2144.991943,2185.754150,2136.893799,2175.336182,2175.336182,76805393
2014-12-15,2173.659668,2176.468262,2135.141357,2137.685547,2137.685547,106865398
2014-12-16,2139.715820,2140.867188,2024.186768,2024.186768,2024.186768,191022866
2014-12-17,2022.905640,2066.841309,1952.839478,1981.491943,1981.491943,232789492
2014-12-18,1981.547729,2012.207642,1888.702637,1935.014771,1935.014771,243421022
2014-12-19,1933.666260,1981.147827,1909.207642,1976.856201,1976.856201,148170153
2014-12-20,1975.463013,2054.489502,1965.667358,2052.194336,2052.194336,129720331
2014-12-21,2049.625732,2050.160400,1983.449219,1995.515015,1995.515015,94585189
2014-12-22,1996.914551,2078.341309,1994.229004,2064.762207,2064.762207,138828932
2014-12-23,2065.577393,2093.588379,2051.772461,2082.911377,2082.911377,103184340
2014-12-24,2081.747314,2083.963623,1997.169434,2004.484253,2004.484253,93795626
2014-12-25,2002.943115,2005.329590,1964.030273,1976.733032,1976.733032,61243975
2014-12-26,1977.625366,2058.607178,1965.113892,2036.867188,2036.867188,101932180
2014-12-27,2034.749146,2042.997803,1941.869995,1961.951538,1961.951538,94321351
2014-12-28,1963.796265,1987.822021,1932.229858,1970.498413,1970.498413,72528033
2014-12-29,1973.367920,1989.306396,1943.080444,1945.338989,1945.338989,76542464
2014-12-30,1945.643799,1960.000732,1918.576538,1927.035522,1927.035522,77694252
2014-12-31,1928.133179,1986.669434,1924.735107,1986.669434,1986.669434,86510117
2015-01-01,1988.171021,1988.171021,1948.262939,1949.789307,1949.789307,49863578
2015-01-02,1948.734619,1959.654541,1945.545410,1954.647583,1954.647583,48772189
2015-01-03,1953.493530,1955.379639,1744.001343,1744.001343,1744.001343,205089330
2015-01-04,1744.398438,1782.147339,1598.379395,1639.224365,1639.224365,345156314
2015-01-05,1644.740234,1731.308838,1644.740234,1707.255737,1707.255737,273453012
2015-01-06,1708.107788,1786.423096,1694.124023,1777.949097,1777.949097,144413911
2015-01-07,1777.253296,1856.068970,1758.628296,1828.627563,1828.627563,154489968
2015-01-08,1827.372559,1827.372559,1753.520020,1760.815674,1760.815674,124177250
2015-01-09,1754.812622,1807.381348,1741.296265,1802.998047,1802.998047,116214428
2015-01-10,1783.720703,1788.836548,1700.917969,1706.070923,1706.070923,94768407
2015-01-11,1704.903809,1736.132568,1645.494629,1649.350098,1649.350098,112999667
2015-01-12,1652.367432,1688.393555,1644.956177,1661.058228,1661.058228,117108837
2015-01-13,1658.564819,1664.041748,1362.757568,1399.660522,1399.660522,451413673
2015-01-14,1387.471069,1387.471069,1062.624512,1103.472778,1103.472778,604940118
2015-01-15,1096.000732,1417.237549,1096.000732,1298.304810,1298.304810,505932669
2015-01-16,1293.516113,1375.304565,1239.878662,1291.554077,1291.554077,238459936
2015-01-17,1289.921753,1314.108521,1209.491699,1236.707153,1236.707153,145664693
2015-01-18,1241.610352,1357.330566,1207.201416,1305.468994,1305.468994,186723173
2015-01-19,1312.494751,1347.831421,1288.771606,1336.220459,1336.220459,116035968
2015-01-20,1324.068604,1337.421509,1274.759155,1313.047974,1313.047974,149446320
2015-01-21,1313.439575,1414.836792,1311.880005,1409.302612,1409.302612,185867676
2015-01-22,1411.942505,1471.295410,1406.426880,1449.101196,1449.101196,208261649
2015-01-23,1449.790283,1462.591187,1400.223633,1450.347168,1450.347168,153341485
2015-01-24,1449.232300,1545.827148,1432.554077,1543.566284,1543.566284,154342932
2015-01-25,1540.483521,1588.575439,1518.922485,1580.130371,1580.130371,209149697
2015-01-26,1582.378540,1934.176025,1582.378540,1710.163330,1710.163330,667836279
2015-01-27,1708.249756,1722.714233,1564.826660,1644.874512,1644.874512,277182957
2015-01-28,1644.100342,1663.978027,1418.469971,1461.383911,1461.383911,277090370
2015-01-29,1457.841675,1491.363403,1378.633423,1458.592285,1458.592285,201214560
2015-01-30,1453.963745,1517.381592,1411.380859,1415.043091,1415.043091,166269197
2015-01-31,1415.142944,1459.283203,1351.823120,1359.041260,1359.041260,145914576
2015-02-01,1355.310303,1447.221802,1324.987793,1418.461548,1418.461548,182038561
2015-02-02,1415.455444,1515.870239,1393.756226,1491.170654,1491.170654,191613379
2015-02-03,1486.319580,1539.026733,1404.657471,1422.084106,1422.084106,255195846
2015-02-04,1423.604614,1437.218384,1381.580444,1417.196045,1417.196045,166139911
2015-02-05,1422.268799,1496.664307,1342.374878,1357.291138,1357.291138,140763526
2015-02-06,1356.115845,1439.189209,1350.044434,1387.717773,1387.717773,152561796
2015-02-07,1390.009155,1437.871826,1389.846802,1421.982056,1421.982056,134885823
2015-02-08,1421.601196,1432.496216,1380.294189,1394.872803,1394.872803,107046056
2015-02-09,1394.729248,1399.072388,1355.652588,1374.961182,1374.961182,173603914
2015-02-10,1376.035522,1384.186646,1343.994629,1371.905273,1371.905273,131768782
2015-02-11,1371.237549,1394.768433,1361.261597,1368.196533,1368.196533,107377700
2015-02-12,1368.340088,1387.410645,1358.738281,1384.694458,1384.694458,94947513
2015-02-13,1385.974365,1499.192139,1380.940308,1469.040894,1469.040894,266720782
2015-02-14,1469.671143,1621.176025,1469.671143,1605.657349,1605.657349,310325827
2015-02-15,1606.817871,1657.385986,1420.725464,1465.284546,1465.284546,352881321
2015-02-16,1465.284546,1496.598999,1429.944702,1461.121216,1461.121216,175912764
2015-02-17,1458.490723,1537.224243,1451.567505,1523.683105,1523.683105,171145245
2015-02-18,1524.746338,1527.692383,1453.193726,1478.124634,1478.124634,157620924
2015-02-19,1478.650024,1517.816284,1473.533691,1502.874023,1502.874023,114274669
2015-02-20,1502.673950,1545.517944,1496.719482,1524.740234,1524.740234,149339208
2015-02-21,1524.571289,1596.924561,1521.018677,1529.462280,1529.462280,76832757
2015-02-22,1529.524902,1541.083374,1462.644409,1475.941772,1475.941772,122133574
2015-02-23,1476.054321,1501.785767,1453.700439,1494.173950,1494.173950,102575440
2015-02-24,1494.836914,1500.484741,1478.599854,1493.191895,1493.191895,88817822
2015-02-25,1494.161377,1496.975952,1474.205811,1486.348511,1486.348511,71955865
2015-02-26,1485.515991,1487.850708,1466.238037,1479.648438,1479.648438,85235653
2015-02-27,1479.711060,1609.034790,1479.711060,1591.374634,1591.374634,275945146
2015-02-28,1589.443726,1596.791504,1564.108643,1594.101929,1594.101929,87455136
2015-03-01,1594.227295,1640.477417,1541.876953,1631.336426,1631.336426,158077292
2015-03-02,1632.308228,1732.959839,1620.294067,1729.002319,1729.002319,253800870
2015-03-03,1725.088501,1793.112671,1682.468994,1767.426514,1767.426514,316599242
2015-03-04,1769.233398,1782.119263,1681.176880,1712.314209,1712.314209,259475548
2015-03-05,1710.100830,1764.869019,1658.989624,1730.476196,1730.476196,258792578
2015-03-06,1726.854492,1738.686646,1690.833984,1707.791382,1707.791382,181090152
2015-03-07,1705.105103,1739.921753,1691.572876,1729.946289,1729.946289,111625786
2015-03-08,1731.023560,1739.946777,1706.802002,1718.004761,1718.004761,138189190
2015-03-09,1720.872803,1833.332642,1715.802734,1813.953369,1813.953369,370662656
2015-03-10,1815.550659,1878.725586,1814.805298,1826.855347,1826.855347,424346864
